,CURROPER
78210,True
49147,True
56203,True
71577,True
73268,True
64779,True
48431,True
67886,True
51246,True
75446,False
71342,True
77154,True
73442,True
53992,True
48686,True
58952,True
78415,True
67066,True
66848,True
55512,True
66106,True
75715,True
60266,True
76280,True
73146,True
51264,True
69123,True
57424,True
57414,True
56404,True
66509,True
65604,True
74280,True
60866,True
78379,True
51857,True
63034,True
49353,False
64496,True
56123,True
69146,True
76534,True
68808,True
57937,True
54668,True
62019,False
73457,True
57502,True
63120,True
67972,False
52201,True
61335,True
52334,True
69337,True
52385,True
59786,True
76607,False
55532,True
60949,False
74109,True
66340,False
68022,True
77116,True
56781,True
57865,True
64195,True
58301,True
50426,True
68368,True
71701,True
62154,True
62673,False
53292,True
49212,True
58271,True
70443,True
71070,True
68788,True
57397,True
61610,True
71421,True
68042,False
56669,True
72507,True
49846,True
65143,True
49063,True
56339,True
75364,True
63495,True
73168,True
78462,True
52538,True
56881,True
75933,True
53600,True
55540,True
48736,True
53200,True
54690,True
51281,True
71408,True
50140,True
76959,True
63518,True
48485,True
67531,True
50829,True
50425,True
75113,True
52460,True
64915,True
64704,True
55979,True
55570,True
49297,True
50783,True
55746,True
48142,True
61707,True
53673,True
58705,True
65240,True
66569,True
74303,True
53796,True
72281,True
62042,False
64783,True
71813,True
48857,True
53358,True
58224,True
78397,True
51328,False
73130,True
76531,True
70312,True
76912,True
53051,True
76788,False
58731,True
73501,True
67089,True
76706,True
73329,True
66720,True
55188,True
77654,True
62724,True
63095,True
66095,True
66038,True
57647,True
63021,True
63935,True
62447,True
51412,True
50153,True
52578,True
49865,True
54385,True
49113,True
55586,True
72204,True
60755,True
58557,True
59411,True
54672,False
58664,True
58097,True
48112,True
58781,True
50680,True
63399,True
58913,True
72867,True
55403,True
57548,False
71693,True
57051,True
58001,True
57309,True
49588,True
61614,True
66982,True
73418,True
55734,True
55273,True
54472,True
59361,True
76093,True
65886,True
78510,True
63641,True
63233,False
70539,True
66544,True
62218,True
76778,True
71817,True
58524,True
60907,False
52209,True
64256,True
59945,False
55080,True
54467,True
56442,True
70204,False
56753,True
76085,True
65915,True
74180,True
75256,True
48782,True
50824,True
76295,True
60809,True
78380,True
50198,True
59888,True
51891,True
63018,False
53278,True
72554,True
73158,True
63897,True
72271,True
50458,True
53768,True
75956,True
68410,True
61422,True
52493,True
74380,True
53586,True
59967,False
60723,True
77455,True
57526,True
75518,True
65305,True
53052,True
75790,True
55126,False
75972,True
71043,True
49018,True
48713,True
73512,True
66887,True
51487,True
48083,True
48105,True
49843,True
57737,True
75937,True
72851,True
63144,True
55609,True
67305,True
57911,False
67386,True
72167,True
62812,False
76074,True
58290,True
57148,True
63812,True
53816,True
74353,True
48333,True
74420,True
49744,True
71514,True
49725,True
65089,False
76412,True
49392,True
54044,True
74465,True
72116,True
66485,True
77295,True
50045,True
73576,True
69114,True
49303,True
58500,True
78600,True
62924,True
48168,True
58951,True
65577,True
61144,True
53970,True
69378,True
63908,True
58544,True
65767,True
55271,True
68795,False
60060,True
60077,True
56780,True
57720,True
64144,True
72491,True
59339,True
52586,True
55602,True
69597,True
65778,True
54382,True
53311,True
53888,True
54352,False
61910,False
50536,True
71597,True
64250,True
58375,True
56002,True
70413,True
52888,True
64270,True
48354,True
